title,genres,movie_id
Jeffrey,Comedy|Drama,17447
Johnny Mnemonic,Action|Sci-Fi|Thriller,9886
Judge Dredd,Action|Crime|Sci-Fi,9482
Jury Duty,Comedy,19326
Kids,Drama,9344
Living in Oblivion,Comedy,9071
Lord of Illusions,Horror,8973
Love & Human Remains,Comedy|Drama,15730
Mad Love,Drama|Romance,47608
Mallrats,Comedy|Romance,2293
Mighty Morphin Power Rangers: The Movie,Action|Children,9070
Mute Witness,Comedy|Horror|Thriller,48787
Nadja,Drama,34574
"Net, The",Action|Crime|Thriller,1642
Nine Months,Comedy|Romance,11472
Party Girl,Comedy,36196
"Prophecy, The",Fantasy|Horror|Mystery,11980
Reckless,Comedy|Fantasy,58372
Safe,Thriller,32646
"Scarlet Letter, The",Drama|Romance,10533
Showgirls,Drama,10802
Smoke,Comedy|Drama,10149
Something to Talk About,Comedy|Drama|Romance,18402
Species,Horror|Sci-Fi,9348
Strange Days,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,281
"Umbrellas of Cherbourg, The",Drama|Musical|Romance,5967
Three Wishes,Drama|Fantasy,47939
Total Eclipse,Drama|Romance,36834
"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,9090
Under Siege 2: Dark Territory,Action,3512
Unstrung Heroes,Comedy|Drama,52856
Unzipped,Documentary,77350
"Walk in the Clouds, A",Drama|Romance,9560
Waterworld,Action|Adventure|Sci-Fi,9804
White Man's Burden,Drama,31611
Wild Bill,Western,65796
"Browning Version, The",Drama,49805
Bushwhacked,Adventure|Comedy|Crime|Mystery,26258
Burnt by the Sun,Drama,50797
Before the Rain,Drama|War,19155
Before Sunrise,Drama|Romance,76
Billy Madison,Comedy,11017
"Babysitter, The",Drama|Thriller,37141
Boys on the Side,Comedy|Drama,9382
"Cure, The",Drama,6715
Castle Freak,Horror,18256
Circle of Friends,Drama|Romance,22625
Clerks,Comedy,2292
Don Juan DeMarco,Comedy|Drama|Romance,1909
Disclosure,Drama|Thriller,8984
Drop Zone,Action|Thriller,4954
Destiny Turns on the Radio,Comedy,62488
Death and the Maiden,Drama|Thriller,10531
Dolores Claiborne,Drama|Thriller,11929
Dumb & Dumber,Adventure|Comedy,8467
Eat Drink Man Woman,Comedy|Drama|Romance,10451
Exotica,Drama,20156
Exit to Eden,Comedy,18395
Ed Wood,Comedy|Drama,522
French Kiss,Action|Comedy|Romance,397
Forget Paris,Comedy|Romance,10525
Far From Home: The Adventures of Yellow Dog,Adventure|Children,27985
"Goofy Movie, A",Animation|Children|Comedy|Romance,15789
Hideaway,Thriller,27303
Fluke,Children|Drama,21183
Farinelli: il castrato,Drama|Musical,10954
Gordy,Children|Comedy|Fantasy,47867
Hoop Dreams,Documentary,14275
Heavenly Creatures,Crime|Drama,1024
Houseguest,Comedy,17207
Immortal Beloved,Drama|Romance,13701
Heavyweights,Children|Comedy,14819
"Hunted, The",Action,32631
I.Q.,Comedy|Romance,11777
Interview with the Vampire: The Vampire Chronicles,Drama|Horror,628
Jefferson in Paris,Drama,87729
"Jerky Boys, The",Comedy,18713
Junior,Comedy|Sci-Fi,6280
Just Cause,Mystery|Thriller,9061
"Kid in King Arthur's Court, A",Adventure|Children|Comedy|Fantasy|Romance,37108
Kiss of Death,Crime|Drama|Thriller,6071
Star Wars: Episode IV - A New Hope,Action|Adventure|Sci-Fi,11
Little Women,Drama,9587
"Little Princess, A",Children|Drama,19101
Ladybird Ladybird,Drama,49980
Like Water for Chocolate,Drama|Fantasy|Romance,18183
Legends of the Fall,Drama|Romance|War|Western,4476
Major Payne,Comedy,11008
My Crazy Life,Drama,32325
Love Affair,Drama|Romance,43742
Losing Isaiah,Drama,28313
"Madness of King George, The",Comedy|Drama,11318
Mary Shelley's Frankenstein,Drama|Horror|Sci-Fi,3036
Man of the House,Comedy,40490
Mixed Nuts,Comedy,24070
Milk Money,Comedy|Romance,8986
Miracle on 34th Street,Drama,10510
Miami Rhapsody,Comedy,17402
My Family,Drama,38722
Murder in the First,Drama|Thriller,8438
Nobody's Fool,Comedy|Drama|Romance,11593
Nell,Drama,1945
New Jersey Drive,Crime|Drama,39310
New York Cop,Action|Crime,109560
Beyond Bedlam,Drama|Horror,56428
Nina Takes a Lover,Comedy|Romance,131957
Natural Born Killers,Action|Crime|Thriller,241
Only You,Comedy|Romance,9058
Once Were Warriors,Crime|Drama,527
Poison Ivy II,Drama|Thriller,18220
Outbreak,Action|Drama|Sci-Fi|Thriller,6950
Léon: The Professional,Action|Crime|Drama|Thriller,101
"Perez Family, The",Comedy|Romance,63020
"Pyromaniac's Love Story, A",Comedy|Romance,2307
Pulp Fiction,Comedy|Crime|Drama|Thriller,680
Pushing Hands,Drama,25296
Priest,Drama,40156
Quiz Show,Drama,11450
Picture Bride,Drama|Romance,30304
Queen Margot,Drama|Romance,10452
"Quick and the Dead, The",Action|Thriller|Western,12106
Roommates,Comedy|Drama,161495
Ready to Wear,Comedy,3586
Three Colors: Red,Drama,110
Three Colors: Blue,Drama,108
Three Colors: White,Comedy|Drama,109
Rent-a-Kid,Comedy,36357
Relative Fear,Horror|Thriller,92769
Stuart Saves His Family,Comedy,28033
"Swan Princess, The",Animation|Children,22586
"Secret of Roan Inish, The",Children|Drama|Fantasy|Mystery,14334
"Specialist, The",Action|Drama|Thriller,2636
Stargate,Action|Adventure|Sci-Fi,2164
"Santa Clause, The",Comedy|Drama|Fantasy,11395
"Shawshank Redemption, The",Crime|Drama,278
Shallow Grave,Comedy|Drama|Thriller,9905
Suture,Film-Noir|Thriller,87078
Strawberry and Chocolate,Drama,12527
Swimming with Sharks,Comedy|Drama,20306
"Sum of Us, The",Comedy|Drama,36614
National Lampoon's Senior Trip,Comedy,27993
To Live,Drama,31439
Tank Girl,Action|Comedy|Sci-Fi,9067
Tales from the Crypt Presents: Demon Knight,Horror|Thriller,9059
Star Trek: Generations,Adventure|Drama|Sci-Fi,193
Tales from the Hood,Action|Crime|Horror,25066
Tom & Viv,Drama,46797
Village of the Damned,Horror|Sci-Fi,12122
Tommy Boy,Comedy,11381
Vanya on 42nd Street,Drama,32636
Underneath,Mystery|Thriller,36141
"Walking Dead, The",Drama|War,95963
What's Eating Gilbert Grape,Drama,1587
Virtuosity,Action|Sci-Fi|Thriller,9271
While You Were Sleeping,Comedy|Romance,2064
"War, The",Adventure|Drama|War,19855
Double Happiness,Drama,60855
Muriel's Wedding,Comedy,236
"Baby-Sitters Club, The",Children,48287
Ace Ventura: Pet Detective,Comedy,3049
"Adventures of Priscilla, Queen of the Desert, The",Comedy|Drama,2759
Backbeat,Drama|Musical,12635
Bitter Moon,Drama|Film-Noir|Romance,10497
Bullets Over Broadway,Comedy,11382
Clear and Present Danger,Action|Crime|Drama|Thriller,9331
"Client, The",Drama|Mystery|Thriller,10731
"Corrina, Corrina",Comedy|Drama|Romance,10464
Crooklyn,Comedy|Drama,34152
"Crow, The",Action|Crime|Fantasy|Thriller,9495
Cobb,Drama,29973
"Flintstones, The",Children|Comedy|Fantasy,888
Forrest Gump,Comedy|Drama|Romance|War,13
Four Weddings and a Funeral,Comedy|Romance,712
Higher Learning,Drama,16295
I Like It Like That,Comedy|Drama|Romance,48992
I Love Trouble,Action|Comedy,10879
It Could Happen to You,Comedy|Drama|Romance,10660
"Jungle Book, The",Adventure|Children|Romance,10714
"Wonderful, Horrible Life of Leni Riefenstahl, The",Documentary,41647
"Lion King, The",Adventure|Animation|Children|Drama|Musical|IMAX,8587
Little Buddha,Drama,1689
Wes Craven's New Nightmare,Drama|Horror|Mystery|Thriller,11596
"Mask, The",Action|Comedy|Crime|Fantasy,854
Maverick,Adventure|Comedy|Western,9359
Mrs. Parker and the Vicious Circle,Drama,23333
Naked Gun 33 1/3: The Final Insult,Action|Comedy,36593
"Paper, The",Comedy|Drama,12280
Reality Bites,Comedy|Drama|Romance,2788
Red Rock West,Thriller,10427
Richie Rich,Children|Comedy,11011
"River Wild, The",Action|Thriller,8987
Speed,Action|Romance|Thriller,1637
Speechless,Comedy|Romance,15128
Timecop,Action|Sci-Fi|Thriller,8831
True Lies,Action|Adventure|Comedy|Romance|Thriller,36955
When a Man Loves a Woman,Drama|Romance,10449
Wolf,Drama|Horror|Romance|Thriller,10395
Wyatt Earp,Western,12160
Bad Company,Action|Crime|Drama,40480
"Man of No Importance, A",Drama,52038
S.F.W.,Drama,29444
"Low Down Dirty Shame, A",Action|Comedy,26352
Boys Life,Drama,39953
"Colonel Chabert, Le",Drama|Romance|War,41580
Faster Pussycat! Kill! Kill!,Action|Crime|Drama,315
Jason's Lyric,Crime|Drama,22067
Street Fighter,Action|Adventure|Fantasy,11667
Highlander III: The Sorcerer,Action|Fantasy,8011
Federal Hill,Drama,171857
In the Mouth of Madness,Horror|Thriller,2654
8 Seconds,Drama,18069
Above the Rim,Crime|Drama,19092
Addams Family Values,Children|Comedy|Fantasy,2758
"Age of Innocence, The",Drama,10436
Airheads,Comedy,13595
"Air Up There, The",Comedy,46094
Another Stakeout,Comedy|Thriller,9409
Bad Girls,Western,11853
Barcelona,Comedy|Romance,16771
Being Human,Drama,46924
"Beverly Hillbillies, The",Comedy,11041
Beverly Hills Cop III,Action|Comedy|Crime|Thriller,306
Black Beauty,Adventure|Children|Drama,14522
Blink,Thriller,26203
Blown Away,Action|Thriller,178
Blue Chips,Drama,19819
Blue Sky,Drama|Romance,57834
Body Snatchers,Horror|Sci-Fi|Thriller,4722
Boxing Helena,Drama|Mystery|Romance|Thriller,18215
"Bronx Tale, A",Drama,1607
Cabin Boy,Comedy,26391
Calendar Girl,Comedy|Drama,117553
Carlito's Way,Crime|Drama,6075
City Slickers II: The Legend of Curly's Gold,Adventure|Comedy|Western,11310
Clean Slate,Comedy,18658
Cliffhanger,Action|Adventure|Thriller,9350
Coneheads,Comedy|Sci-Fi,9612
Color of Night,Drama|Thriller,2124
Cops and Robbersons,Comedy,26261
"Cowboy Way, The",Action|Comedy|Drama,19176
Dave,Comedy|Romance,11566
Dazed and Confused,Comedy,9571
Demolition Man,Action|Adventure|Sci-Fi,9739
Even Cowgirls Get the Blues,Comedy|Romance,34444
Fatal Instinct,Comedy,26141
Farewell My Concubine,Drama|Romance,10997
Fearless,Drama,10443
Fear of a Black Hat,Comedy,20239
With Honors,Comedy|Drama,16297
Flesh and Bone,Drama|Mystery|Romance,18551
Widows' Peak,Drama,25440
For Love or Money,Comedy|Romance,9024
"Firm, The",Drama|Thriller,37233
Free Willy,Adventure|Children|Drama,1634
Fresh,Crime|Drama|Thriller,13815
"Fugitive, The",Thriller,5503
Geronimo: An American Legend,Drama|Western,35588
"Getaway, The",Action|Adventure|Crime|Drama|Romance|Thriller,2087
Getting Even with Dad,Comedy,41579
Go Fish,Drama|Romance,18620
Hard Target,Action|Adventure|Crime|Thriller,2019
Hot Shots! Part Deux,Action|Comedy|War,9255
Live Nude Girls,Comedy,26271
"Englishman Who Went Up a Hill But Came Down a Mountain, The",Comedy|Romance,10612
"House of the Spirits, The",Drama|Romance,2259
House Party 3,Comedy,16097
"Hudsucker Proxy, The",Comedy,11934
I'll Do Anything,Comedy|Drama,106143
In the Army Now,Comedy|War,12475
In the Line of Fire,Action|Thriller,9386
In the Name of the Father,Drama,7984
"Inkwell, The",Comedy|Drama,59930
What's Love Got to Do with It?,Drama|Musical,15765
Jimmy Hollywood,Comedy|Crime|Drama,31643
Judgment Night,Action|Crime|Thriller,6
Jurassic Park,Action|Adventure|Sci-Fi|Thriller,329
Kalifornia,Drama|Thriller,10909
Killing Zoe,Crime|Drama|Thriller,507
Lassie,Adventure|Children,29918
Last Action Hero,Action|Adventure|Comedy|Fantasy,9593
Life with Mikey,Comedy,42580
Lightning Jack,Comedy|Western,22317
M. Butterfly,Drama|Romance,1413
Made in America,Comedy,12121
Malice,Thriller,2246
"Man Without a Face, The",Drama,10502
Manhattan Murder Mystery,Comedy|Mystery,10440
Menace II Society,Action|Crime|Drama,9516
Executive Decision,Action|Adventure|Thriller,2320
In the Realm of the Senses,Drama,5879
What Happened Was...,Comedy|Drama|Romance|Thriller,83718
Much Ado About Nothing,Comedy|Romance,11971
Mr. Wonderful,Comedy|Romance,31911
Mrs. Doubtfire,Comedy|Drama,788
Naked,Drama,21450
"Next Karate Kid, The",Action|Children|Romance,11231
No Escape,Action|Drama|Sci-Fi,10447
North,Comedy,31586
Orlando,Drama|Fantasy|Romance,9300
"Perfect World, A",Crime|Drama|Thriller,9559
Philadelphia,Drama,9800
"Piano, The",Drama|Romance,713
Poetic Justice,Drama,8291
"Program, The",Action|Drama,18133
"Puppet Masters, The",Horror|Sci-Fi,25557
Radioland Murders,Comedy|Mystery|Romance,22588
"Ref, The",Comedy,10872
"Remains of the Day, The",Drama|Romance,1245
Renaissance Man,Comedy|Drama,11858
Rising Sun,Action|Drama|Mystery,7007
"Road to Wellville, The",Comedy,10467
RoboCop 3,Action|Crime|Drama|Sci-Fi|Thriller,5550
Robin Hood: Men in Tights,Comedy,8005
Romeo Is Bleeding,Crime|Thriller,2088
Romper Stomper,Action|Drama,10412
Ruby in Paradise,Drama,47889
Rudy,Drama,14534
Savage Nights,Drama,41878
Schindler's List,Drama|War,424
"Scout, The",Comedy|Drama,35233
Searching for Bobby Fischer,Drama,14291
"Secret Garden, The",Children|Drama,11236
Serial Mom,Comedy|Crime|Horror,11592
"Shadow, The",Action|Adventure|Fantasy|Mystery,8850
Shadowlands,Drama|Romance,10445
Short Cuts,Drama,695
"Simple Twist of Fate, A",Drama,43535
Sirens,Drama,12519
Six Degrees of Separation,Drama,23210
Sleepless in Seattle,Comedy|Drama|Romance,858
Sliver,Thriller,867
Blade Runner,Action|Sci-Fi|Thriller,78
Son in Law,Comedy|Drama|Romance,13203
So I Married an Axe Murderer,Comedy|Romance|Thriller,10442
Striking Distance,Action|Crime,11074
Super Mario Bros.,Action|Adventure|Children|Comedy|Fantasy|Sci-Fi,9607
Surviving the Game,Action|Adventure|Thriller,17585
Terminal Velocity,Action|Mystery|Thriller,9057
Thirty-Two Short Films About Glenn Gould,Drama|Musical,20967
Threesome,Comedy|Romance,10635
"Nightmare Before Christmas, The",Animation|Children|Fantasy|Musical,9479
"Three Musketeers, The",Action|Adventure|Comedy|Romance,10057
Tombstone,Action|Drama|Western,11969
True Romance,Crime|Thriller,319
"War Room, The",Documentary,26408
"Pagemaster, The",Action|Adventure|Animation|Children|Fantasy,15139
Welcome to the Dollhouse,Comedy|Drama,11446
Germinal,Drama|Romance,51980
Chasers,Comedy,24405
Kika,Comedy|Drama,8223
Bhaji on the Beach,Comedy|Drama,14587
Little Big League,Comedy|Drama,31504
"Ciao, Professore!",Drama,23637
Spanking the Monkey,Comedy|Drama,17600
"Little Rascals, The",Children|Comedy,10897
Andre,Adventure|Children|Drama,21352
"Escort, The",Crime|Thriller,68806
Princess Caraboo,Drama,37345
"Celluloid Closet, The",Documentary,32562
Dear Diary,Comedy|Drama,25403
"Brady Bunch Movie, The",Comedy,9066
Home Alone,Children|Comedy,771
Ghost,Comedy|Drama|Fantasy|Romance|Thriller,251
Aladdin,Adventure|Animation|Children|Comedy|Musical,812
Terminator 2: Judgment Day,Action|Sci-Fi,280
Dances with Wolves,Adventure|Drama|Western,581
Batman,Action|Crime|Thriller,268
"Silence of the Lambs, The",Crime|Horror|Thriller,274
Snow White and the Seven Dwarfs,Animation|Children|Drama|Fantasy|Musical,408
Beauty and the Beast,Animation|Children|Fantasy|Musical|Romance|IMAX,10020
Pinocchio,Animation|Children|Fantasy|Musical,10895
Pretty Woman,Comedy|Romance,114
"Wild Bunch, The",Adventure|Western,576
Love and a .45,Action|Comedy|Crime,15477
"Great Day in Harlem, A",Documentary,124472
One Fine Day,Drama|Romance,7300
Candyman: Farewell to the Flesh,Fantasy|Horror,10824
Fargo,Comedy|Crime|Drama|Thriller,275
Homeward Bound II: Lost in San Francisco,Adventure|Children,25059
Heavy Metal,Action|Adventure|Animation|Horror|Sci-Fi,11827
Hellraiser: Bloodline,Action|Horror|Sci-Fi,8766
"Pallbearer, The",Comedy,23570
Jane Eyre,Drama|Romance,47333
Bread and Chocolate,Comedy|Drama,51242
"Aristocats, The",Animation|Children,10112
"Flower of My Secret, The",Comedy|Drama,4307
Two Much,Comedy|Romance,46029
Ed,Comedy,32308
"Thin Line Between Love and Hate, A",Comedy,28121
"Last Supper, The",Drama|Thriller,12520
Primal Fear,Crime|Drama|Mystery|Thriller,1592
All Dogs Go to Heaven 2,Adventure|Animation|Children|Fantasy|Musical|Romance,19042
Land and Freedom,Drama|War,38884
Denise Calls Up,Comedy,47449
Theodore Rex,Comedy,36259
"Family Thing, A",Comedy|Drama,41852
Frisk,Drama,40926
Sgt. Bilko,Comedy,9099
Jack and Sarah,Romance,2021
Girl 6,Comedy|Drama,61752
Diabolique,Drama|Thriller,10988
Nelly & Monsieur Arnaud,Drama,12652
Courage Under Fire,Action|Crime|Drama|War,10684
Mission: Impossible,Action|Adventure|Mystery|Thriller,954
Cold Fever,Comedy|Drama,68445
Moll Flanders,Drama,18989
Dragonheart,Action|Adventure|Fantasy,8840
Eddie,Comedy,11107
James and the Giant Peach,Adventure|Animation|Children|Fantasy|Musical,10539
Fear,Thriller,10543
Kids in the Hall: Brain Candy,Comedy,18414
Underground,Comedy|Drama|War,11902
Bloodsport 2,Action,25087
Song of the Little Road,Drama,5801
"World of Apu, The",Drama,896
Mystery Science Theater 3000: The Movie,Comedy|Sci-Fi,3065
Space Jam,Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,2300
Barbarella,Adventure|Comedy|Sci-Fi,8069
Some Folks Call It a Sling Blade,Drama|Thriller,27768
"Run of the Country, The",Drama,221917
Alphaville,Drama|Mystery|Romance|Sci-Fi|Thriller,8072
It's My Party,Drama,33245
Operation Dumbo Drop,Action|Adventure|Comedy|War,27281
Mrs. Winterbourne,Comedy|Romance,40001
Solo,Action|Sci-Fi|Thriller,29621
"Substitute, The",Action|Crime|Drama,20762
True Crime,Mystery|Thriller,37144
Feeling Minnesota,Drama|Romance,12656
Delta of Venus,Drama,38867
Angus,Comedy,25969
Boys,Drama,43634
"Quest, The",Action|Adventure,9103
Sunset Park,Drama,29649
Mulholland Falls,Crime|Drama|Thriller,10990
"Truth About Cats & Dogs, The",Comedy|Romance,8866
Oliver & Company,Adventure|Animation|Children|Comedy|Musical,12233
Celtic Pride,Comedy,23449
Flipper,Adventure|Children,36355
Dead Man,Drama|Mystery|Western,922
"Horseman on the Roof, The",Drama|Romance,11876
"Visitors, The",Comedy|Fantasy|Sci-Fi,11687
Multiplicity,Comedy,9304
Wallace & Gromit: The Best of Aardman Animation,Adventure|Animation|Comedy,503475
"Haunted World of Edward D. Wood Jr., The",Documentary,73183
"Craft, The",Drama|Fantasy|Horror|Thriller,9100
"Great White Hype, The",Comedy,20759
Last Dance,Drama,46063
Cold Comfort Farm,Comedy,32513
Heaven's Prisoners,Crime|Thriller,36915
"Rock, The",Action|Adventure|Thriller,9802
Cemetery Man,Horror,21588
Twister,Action|Adventure|Romance|Thriller,664
Barb Wire,Action|Sci-Fi,11867
Ghost in the Shell,Animation|Sci-Fi,9323
Thinner,Horror|Thriller,10280
Spy Hard,Comedy,10535
Wallace & Gromit: A Close Shave,Animation|Children|Comedy,532
"Stupids, The",Comedy,16299
"Arrival, The",Action|Sci-Fi|Thriller,10547
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy|War,935
Ashes of Time,Drama,40751
Maya Lin: A Strong Clear Vision,Documentary,85778
Stalingrad,Drama|War,11101
"Phantom, The",Action|Adventure,9826
Striptease,Comedy|Crime,9879
Heavy,Drama|Romance,22621
Jack,Comedy|Drama,7095
I Shot Andy Warhol,Drama,26890
Touki Bouki,Drama,77771
Spirits of the Dead,Horror|Mystery,41225
Trainspotting,Comedy|Crime|Drama,627
'Til There Was You,Drama|Romance,32872
Independence Day,Action|Adventure|Sci-Fi|Thriller,602
Stealing Beauty,Drama,14553
"Fan, The",Drama|Thriller,9566
"Hunchback of Notre Dame, The",Animation|Children|Drama|Musical|Romance,10545
"Cable Guy, The",Comedy|Thriller,9894
Kingpin,Comedy,11543
Eraser,Action|Drama|Thriller,9268
"Nutty Professor, The",Comedy|Fantasy|Romance|Sci-Fi,9327
"Unforgettable Summer, An",Drama,81949
Somebody to Love,Drama,44535
Daylight,Action|Adventure|Drama|Thriller,11228
"Frighteners, The",Comedy|Horror|Thriller,10779
Lone Star,Drama|Mystery|Western,26748
Harriet the Spy,Children|Comedy,38223
Phenomenon,Drama|Romance,9294
Walking and Talking,Comedy|Drama|Romance,49963
She's the One,Comedy|Romance,11363
"Time to Kill, A",Drama|Thriller,1645
American Buffalo,Crime|Drama,31546
Alaska,Adventure|Children,36344
Fled,Action|Adventure,18550
Kazaam,Children|Comedy|Fantasy,11511
Larger Than Life,Comedy,34170
"Very Brady Sequel, A",Comedy,12606
"Collector, The",Drama,4837
Kaspar Hauser,Drama|Mystery,12632
"Adventures of Pinocchio, The",Adventure|Children,18975
Joe's Apartment,Comedy|Fantasy|Musical,11962
"First Wives Club, The",Comedy,2925
Ransom,Crime|Thriller,3595
High School High,Comedy,9308
Foxfire,Drama,18555
Chain Reaction,Action|Adventure|Thriller,12123
Matilda,Children|Comedy|Fantasy,10830
Emma,Comedy|Drama|Romance,3573
"Crow: City of Angels, The",Action|Thriller,10546
House Arrest,Children|Comedy,18862
Eyes Without a Face,Horror,31417
Tales from the Crypt Presents: Bordello of Blood,Comedy|Horror,9431
"Spitfire Grill, The",Drama,47907
Escape from L.A.,Action|Adventure|Sci-Fi|Thriller,10061
Basquiat,Drama,549
Tin Cup,Comedy|Drama|Romance,10478
"Godfather, The",Crime|Drama,238
